,0
Error_Rate_%,3.3773663
Production_Speed_units_per_hr,2.2993758
Error_to_Output_Ratio,1.1512278
Quality_Adjusted_Error,0.17629802
Energy_Efficiency_Ratio,0.15043814
Predictive_Maintenance_Score,0.10689775
Quality_Control_Defect_Rate_%,0.10098956
Packet_Loss_%,0.08397114
Vibration_Hz,0.07955857
Temperature_C,0.07861205
Network_Latency_ms,0.07438386
Sensor_Stability_Score,0.07106909
Hour,0.0665768
Power_Consumption_kW,0.05394556
Network_Reliability_Score,0.05392627
Mode_Idle,0.018297521
Mode_Active,0.0056358892
Mode_Maintenance,0.0035113508
Is_Weekend,0.0030225208
